Year,Rank,Title,Artist,First Feature,Second Feature,Genres,Duration,Popularity,Spotify ID
2013,46,Home,Edward Sharpe & The Magnetic Zeros,,,,5:03,62,2x1jP9BexWtOKudvuUHbaD
2013,47,It's Time,Imagine Dragons,,,,3:57,64,6BtmXhTJMM9sBTHeYYASGz
2013,48,Power Trip (feat. Miguel),J. Cole,Miguel,,rap,4:01,77,2uwnP6tZVVmTovzX5ELooy
2013,49,Girl on Fire,Alicia Keys,,,"r&b, neo soul",3:44,74,4esOae7i4rqTbAu9o5Pxco
2013,50,Heart Attack,Demi Lovato,,,,3:30,77,1V6gIisPpYqgFeWbMLI0bA
2013,51,Love Somebody,Morgan Wallen,,,country,3:24,85,7hR22TOX3RorxJPcsz5Wbo
2013,52,I Will Wait,Mumford & Sons,,,"folk, indie folk, folk rock",4:36,67,3Bclyko7WmwM2oGmKj8sue
2013,53,Try Everything,Shakira,,,"latin pop, latin",3:16,67,1N3dZ7TTWO6VcD4Y3hHYLZ
2013,54,Wagon Wheel,Darius Rucker,,,country,4:58,75,3xdjjKMcMOFgo1eQrfbogM
2013,55,Gangnam Style (강남스타일),PSY,,,k-pop,3:39,73,03UrZgTINDqvnUMbbIMhql
2013,56,I Need Your Love,Pentatonix,,,christmas,2:52,44,11tQS3cthRT6guY7WkTypx
2013,57,Die Young,Kesha,,,,3:31,78,7EQGXaVSyEDsCWKmUcfpLk
2013,58,Some Nights,fun.,,,,4:37,66,6t6oULCRS6hnI7rm0h5gwl
2013,59,BAD PARENTING FUNK,DJ CEREJASS,Sayfalse,,phonk,1:27,74,6kJjlOWBwnDwIBsvlwTNIF
2013,60,Boys 'Round Here (feat. Pistol Annies & Friends),Blake Shelton,Pistol Annies,,country,4:48,60,39FwE8edwuyiaa4PrGBkP7
2013,61,"Gone, Gone, Gone",Phillip Phillips,,,folk pop,3:29,70,56sxN1yKg1dgOZXBcAHkJG
2013,62,Demons,Imagine Dragons,,,,2:55,71,3LlAyCYU26dvFZBDUIMb7a
2013,63,Counting Stars,OneRepublic,,,soft pop,4:17,73,6sy3LkhNFjJWlaeSMNwQ62
2013,64,I Cry,Flo Rida,,,,3:43,66,4bZd0nRuX8HyjeXAUBczvm
2013,65,Little Talks,Of Monsters and Men,,,"folk pop, indie folk",4:26,78,2ihCaVdNZmnHZWt0fvAM7B
2013,66,The Other Side,Hugh Jackman,Zac Efron,,musicals,3:34,71,2cKovq3l6OJjhVVDbVKOsr
2013,67,Berzerk,Eminem,,,"rap, hip hop",3:58,66,6Xk7PnitV9jCRorWt2LiVZ
2013,68,Catch My Breath,Kelly Clarkson,,,christmas,4:10,49,5qxPabNDnJQ551Tf4v6k3j
