Year,Rank,Title,Artist,First Feature,Second Feature,Genres,Duration,Popularity,Spotify ID
2020,26,hot girl bummer,blackbear,,,,3:08,73.0,6jRq8gaZhMUyy5RclRPcAf
2020,27,Blueberry Faygo,Lil Mosey,,,,2:42,72.0,22LAwLoDA5b4AaGSkg6bKW
2020,28,Heartless,The Weeknd,,,,3:18,76.0,6bnF93Rx87YqUBLSgjiMU8
2020,29,BOP,DaBaby,,,,2:39,74.0,6Ozh9Ok6h4Oi1wUSLtBseN
2020,30,Lose You To Love Me,Selena Gomez,,,,3:26,76.0,4l0Mvzj72xxOpRrp6h8nHi
2020,31,Good as Hell,Lizzo,,,,2:39,67.0,6KgBpzTuTRPebChN0VTyzV
2020,32,Toosie Slide,Drake,,,,4:07,68.0,127QTOFJsJQp5LbJbu3A1y
2020,33,Break My Heart,Dua Lipa,,,,3:41,75.0,017PF4Q3l4DBUiWoXk4OWT
2020,34,Chasin' You,Morgan Wallen,,,,3:25,77.0,0WiyWiJDkNCyGNqkv7NByy
2020,35,Savage Love (Laxed - Siren Beat),Jawsh 685,Jason Derulo,,,2:51,69.0,1xQ6trAsedVPCdbtDAmk0c
2020,36,No Guidance (feat. Drake),Chris Brown,Drake,,,4:20,75.0,6XHVuErjQ4XNm6nDPVCxVX
2020,37,My Oh My (feat. DaBaby),Camila Cabello,DaBaby,,,2:50,71.0,3yOlyBJuViE2YSGn3nVE1K
2020,38,Dynamite,BTS,,,,3:19,79.0,5QDLhrAOJJdNAmCTJ8xMyW
2020,39,Go Crazy,Chris Brown,Young Thug,,,2:56,71.0,1IIKrJVP1C9N7iPtG6eOsK
2020,40,High Fashion (feat. Mustard),Roddy Ricch,Mustard,,,3:40,67.0,07KXEDMj78x68D884wgVEm
2020,41,Laugh Now Cry Later (feat. Lil Durk),Drake,Lil Durk,,,4:21,73.0,2SAqBLGA283SUiwJ3xOUVI
2020,42,Woah,Lil Baby,,,,3:03,64.0,02RCbjb9czvQKNGBmEmWob
2020,43,death bed (coffee for your head),Powfu,beabadoobee,,,2:53,80.0,7eJMfftS33KTjuF7lTsMCx
2020,44,Señorita,Shawn Mendes,Camila Cabello,,,3:10,78.0,6v3KW9xbzN5yKLt9YKDYA2
2020,45,HIGHEST IN THE ROOM,Travis Scott,,,,2:55,84.0,3eekarcy7kvN4yt5ZFzltW
2020,46,bad guy,Billie Eilish,,,,3:14,80.0,2Fxmhks0bxGSBdJ92vM42m
2020,47,Mood (feat. iann dior),24kGoldn,iann dior,,,2:20,78.0,4jPy3l0RUwlUI9T5XHBW2m
2020,48,Rain On Me (with Ariana Grande),Lady Gaga,Ariana Grande,,,3:02,70.0,7ju97lgwC2rKQ6wwsf9no9
2020,49,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Lil Baby,DaBaby,,3:10,73.0,0PvFJmanyNQMseIFrU708S
