Year,Rank,Title,Artist,Spotify ID,Genres,Duration,Popularity
2006,54,What's Left Of Me,Grace VanderWaal,2KCHayVgv4Svp1ETPNsk7l,,3:15,53
2006,55,So What,P!nk,0JiY190vktuhSGN6aqJdrt,,3:35,75
2006,56,Do It To It,"ACRAZE, Cherish",20on25jryn53hWghthWWW3,tech house,2:37,75
2006,57,Black Horse And The Cherry Tree,KT Tunstall,0qAMjeQFyd1qD0LDiV8gWp,,2:52,61
2006,58,There It Go (The Whistle Song),Juelz Santana,0f7gbjwkZOs9loj2fr0lGH,,3:00,59
2006,59,Shoulder Lean (feat. T.I.),"Young Dro, T.I.",2OqYarizUUGzSSNHPrDEii,"southern hip hop, crunk",4:18,55
2006,60,Unpredictable (feat. Ludacris) - Main,"Jamie Foxx, Ludacris",3UNrtRxBBlWE70SjxnOo02,,3:39,50
2006,61,My Love Mine All Mine,Mitski,3vkCueOmm7xQDoJ17W1Pm3,,2:17,87
2006,62,Shake That,"Eminem, Nate Dogg",0fGh0trRN1xz3s41r7V5ce,"rap, hip hop",4:34,71
2006,63,Pullin' Me Back,"Chingy, Tyrese",5hF2LnbkpnXCkksMSeWcxZ,crunk,3:54,61
2006,64,Bossy (feat. Too $hort),"Kelis, Too $hort",37t0Qym2FUMXwoEfeFDEYa,,4:32,44
2006,65,Chain Hang Low,Jibbs,0tYPj0NYa7vjlJaqlRSnJb,crunk,3:27,54
2006,66,Smack That,"Akon, Eminem",2kQuhkFX7uSVepCD3h29g5,,3:32,82
2006,67,One Wish,Ray J,2TFsx3B0hLSSTambrudXs3,,5:37,64
2006,68,"Sugar, We're Goin Down",Fall Out Boy,2TfSHkHiFO4gRztVIkggkE,"emo, pop punk",3:49,76
2006,69,Gimme That,"Bravo the Bagchaser, Peysoh",6dd1Nt9L9OYDi132cLgiEl,,2:35,51
2006,70,"I Know You See It (feat. Brandy ""Ms. B"" Hambrick)","Yung Joc, Brandy ""Ms. B"" Hambrick",6giYNaycmjkbf7UmZ6RGtL,"crunk, southern hip hop",4:01,53
2006,71,Who Says You Can't Go Home,"Bon Jovi, Jennifer Nettles",5439qJTu5mVH9aeriwp03u,glam metal,3:50,53
2006,72,Too Little Too Late,JoJo,6BxGP8hwjuKKka0J7vvtEd,,3:41,70
2006,73,Touch It,Busta Rhymes,3HVJbdz0V402U5YggQK4Ao,east coast hip hop,3:34,55
2006,74,Rompe,Daddy Yankee,4Xtlw8oXkIOvzV7crUBKeZ,"reggaeton, latin",3:08,73
2006,75,Deja Vu,J. Cole,6I6NX6tjGsxFAsIfGzY9lJ,rap,4:24,66
2006,76,Life is a Highway,Rascal Flatts,5gB2IrxOCX2j9bMnHKP38i,country,4:35,71
2006,77,Call Me When You're Sober,Evanescence,663Karu2rvKLdnY0eo1n3M,alternative metal,3:34,68
2006,78,"Jesus, Take the Wheel",Carrie Underwood,3lec3CzDPAxsZokPph5w87,country,3:46,59
2006,79,Show Stopper,Danity Kane,5FRIqUXfTazrtRmYEGO4G0,,3:49,51
2006,80,Get Up (feat. Chamillionaire),"Ciara, Chamillionaire",3rKCDtV8UcF0RytSiXxypc,,4:21,62
2006,81,We Be Burnin',Sean Paul,4kOTDj4SiZPkW1p96WMDNv,dancehall,3:35,62
2006,82,Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",6kls8cSlUyHW2BUOkDJIZE,,3:06,67
2006,83,You And Me,Lifehouse,0815caqt2Lytro5EIzMufT,post-grunge,3:15,73
2006,84,Beeper Funk - Slowed,"DJ Paulinho Mondi Da Baixa Baviera, Mc Vitorioso",02WKo37gebkkQKor2TCuTk,"phonk, brazilian funk",1:43,69
2006,85,I Think They Like Me - Remix,"Dem Franchize Boyz, Jermaine Dupri, Da Brat, Bow Wow, The Kid Slim",5a4AQWs84xeEyYUd1iC2Pn,"crunk, southern hip hop",4:42,46
2006,86,Say Goodbye,Lodoni,4ZupptVA3E4qDnx90cIM9G,,1:46,39
2006,87,Waiting On the World to Change,John Mayer,5imShWWzwqfAJ9gXFpGAQh,singer-songwriter,3:21,72
2006,88,Soul Survivor,"Jeezy, Akon",0Ss50OU9tCozI7JIywkv14,"southern hip hop, crunk, rap, gangster rap",4:40,63
2006,89,Pump It,Black Eyed Peas,6btyEL6NwUa97Nex9cZFvo,,3:33,67
2006,90,When I'm Gone,3 Doors Down,3WbphvawbMZ8FyqDxYGdSQ,post-grunge,4:20,72
2006,91,Hung Up,Madonna,3850dYVgOFIXJh5U4BFEWH,,5:37,75
2006,92,Stay Fly,Three 6 Mafia,5MYFw4T2gy52pOGBN4EYHS,"memphis rap, southern hip hop, crunk, horrorcore, gangster rap",3:56,66
2006,93,Love,Keyshia Cole,0W4NhJhcqKCqEP2GIpDCDq,r&b,4:15,79
2006,94,When You're Mad,Ne-Yo,5FXOEdfNW7nYQrBWtW49Cl,,3:42,55
2006,95,Why You Wanna,T.I.,1g0oI97rPdYuWDIpkbtQdv,southern hip hop,3:35,53
2006,96,Stupid Girls,P!nk,1Ab6RxeKl3e07zP7Get7CX,,3:17,53
2006,97,Feel Good Inc.,Gorillaz,0d28khcov6AiegSCpG5TuT,,3:42,85
2006,98,I'm Sprung,T-Pain,0DLOyyQvwPTSDKuhpzMMwA,,3:51,71
2006,99,Do I Make You Proud,Taylor Hicks,2jv9Ppwz9u3lqWfXV0q2sW,,4:08,22
2006,100,For You I Will (Confidence),Kidz Bop Kids,43q9QXWgnB6b4qRq60CO0N,children's music,3:50,2
2007,1,Irreplaceable,Beyoncé,6RX5iL93VZ5fKmyvNXvF1r,,3:47,70
2007,2,Umbrella,"Rihanna, JAY-Z",49FYlytm3dAAraYgpoJZux,,4:35,81
2007,3,The Sweet Escape,"Gwen Stefani, Akon",66ZcOcouenzZEnzTJvoFmH,,4:06,72
2007,4,Big Girls Don't Cry (Personal),Fergie,4AniPkv5vgdE1n6VKreiyI,,4:28,64
2007,5,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc",1tkMs9wDPknQ3ZHcKDw1ES,,3:47,75
2007,6,Before He Cheats,Carrie Underwood,0ZUo4YjG4saFnEJhdWp9Bt,country,3:19,75
2007,7,Hey There Delilah,Plain White T's,4RCWB3V8V0dignt99LZ8vH,,3:52,76
2007,8,I Wanna Love You,"Akon, Snoop Dogg",1OKvqRUG3QbaqLWGn7bhzF,,4:06,64
2007,9,Say It Right,Nelly Furtado,2aI21FnmY7TJVKeMaoQZ0t,,3:43,79
2007,10,Glamorous,"Fergie, Ludacris",4KTtYhxFtFL7mBwnjkKfLm,,4:06,68
2007,11,Don't Matter,Derik Fein,5K2YU3ENuytMsx9bfJOFrw,,3:20,67
2007,12,Girlfriend,Avril Lavigne,45hOioMDJktr86iKDHC8gr,,3:36,73
2007,13,Makes Me Wonder,Maroon 5,1lHXlGlve5Zx8tXLhyjDwM,pop,3:31,56
2007,14,Party Like A Rockstar - (Choppa Dunks Remix),"SHOP BOYZ, Choppa Dunks",07SajbxT3mMTKhbkGjVMBW,,3:34,33
2007,15,Smack That,"Akon, Eminem",2kQuhkFX7uSVepCD3h29g5,,3:32,82
2007,16,This Is Why I'm Hot,MiMS,0AA6zq5ArZ1sSH7VIMi4NK,,4:13,56
2007,17,It's Not Over,Daughtry,234RqTZmnDTnxWlVciXHLD,,3:35,64
2007,18,The Way I Are,"Timbaland, Keri Hilson, D.O.E.",2bLqfJjuC5syrsgDsZfGmn,,2:59,81
2007,19,Fergalicious,"Fergie, will.i.am",1D066zixBwqFYqBhKgdPzp,,4:52,65
2007,20,Crank That (Soulja Boy),Soulja Boy,66TRwr5uJwPt15mfFkzhbi,,3:41,74
2007,21,Give It To Me,"Timbaland, Justin Timberlake, Nelly Furtado",0wbDgMuAoy7O7pL3a69uZx,,3:54,74
2007,22,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,3pD0f7hSJg2XdQ6udw5Tey,,7:28,71
2007,23,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,2Lhdl74nwwVGOE2Gv35QuK,,4:03,73
2007,24,How to Save a Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J,,4:22,80
